Age,Annual_Income_k$,Spending_Score,Online_Purchases_per_Month,Tenure_Years,True_Segment
57,48,28,6,4,Price Sensitive
52,133,91,12,5,Premium Loyal
53,25,35,1,3,Price Sensitive
18,38,87,10,1,Impulse Young
22,56,85,9,4,Impulse Young
49,86,95,12,6,Premium Loyal
53,111,29,4,4,Wealthy Conservative
40,16,26,2,4,Price Sensitive
46,94,34,9,9,Wealthy Conservative
53,118,36,6,4,Wealthy Conservative
27,38,68,18,1,Impulse Young
57,115,90,14,8,Premium Loyal
50,152,41,5,11,Wealthy Conservative
56,138,70,10,11,Premium Loyal
48,149,33,5,5,Wealthy Conservative
46,93,87,14,7,Premium Loyal
49,30,26,6,4,Price Sensitive
47,80,79,10,9,Premium Loyal
29,16,17,7,1,Price Sensitive
38,145,74,21,7,Premium Loyal
50,122,45,7,3,Wealthy Conservative
48,106,78,22,5,Premium Loyal
26,32,83,18,1,Impulse Young
40,37,27,5,1,Price Sensitive
55,141,90,10,14,Premium Loyal
50,141,95,19,14,Premium Loyal
37,37,11,7,1,Price Sensitive
42,148,41,6,4,Wealthy Conservative
51,15,27,3,3,Price Sensitive
19,52,84,17,2,Impulse Young
26,49,66,13,2,Impulse Young
56,99,85,12,13,Premium Loyal
23,56,72,9,4,Impulse Young
42,138,92,17,9,Premium Loyal
21,45,65,14,4,Impulse Young
27,27,83,11,1,Impulse Young
23,45,89,19,1,Impulse Young
26,49,85,12,1,Impulse Young
47,28,27,1,4,Price Sensitive
19,28,65,14,2,Impulse Young
36,107,72,22,11,Premium Loyal
59,81,89,16,5,Premium Loyal
42,111,87,16,11,Premium Loyal
40,35,35,6,2,Price Sensitive
22,43,74,8,2,Impulse Young
27,34,68,15,1,Impulse Young
18,39,72,10,1,Impulse Young
19,56,69,8,2,Impulse Young
22,25,68,8,1,Impulse Young
22,33,79,12,4,Impulse Young
40,95,89,21,13,Premium Loyal
53,108,44,4,6,Wealthy Conservative
57,80,88,22,9,Premium Loyal
